切れる踏切と	断掉的平交道
さあさあ笑顔にして 	 来吧 莉奈特去吧 洛赛塔都化为笑颜吧
数えきれない光の中	拉薇在无数的光芒中
一番輝く想いへ 	向着最闪耀的感情去吧
遠くたって辛くたって 	 艾什莉即便遥不可及 拉薇即使千辛万苦
夜陰だって不安だって 	 艾什莉即便长夜漫漫 拉薇即使惴惴不安
たどり着けるように 	提亚拉期望着苦尽甘来
隠蔽いんぺいってなんぼ	団子yes談合
理論防衛 秘ヒと密ミツで創る	世界創造七日間
されどされど 喪心sosin	放心hosin 無心musin
いつも傍にいる	一直陪在你左右
明日が見えない夜も	即使是在看不见明天的夜里
心で呼びかけてるよ	也会在心里呼唤你
同じ星の下	同一片星空下
耳を澄ます横顔	在心里反复描绘
くりかえし思い描く	你侧耳倾听的温柔脸庞
いつも傍にいる	一直陪在你左右
明日が見えない夜も	即使是在看不见明天的夜里
心で呼びかけてるよ	也会在心里呼唤你
今は遠すぎて儚い星でも	此刻 即使是遥远得近乎虚幻的星
生まれ変わって夜空をきっと照らす	也重获新生 一定能把夜空照亮
星屑のなかで出会えた奇跡が	漫天星光中与你相遇的奇迹
人ゴミのなかにまた見えなくなる	已经消失在茫茫人海 再也无法寻觅
戻らない過去に泣いた夜たちに	对那无法回到的过去而哭泣的夜
告げるサヨナラ明日はきっと輝けるように	道一声再见 明天一定能熠熠生辉
こんなちいさな星座なのに	明明我只是一个如此渺小的星座
ココにいたこと 気付いてくれて ありがとう	你却能注意到我的存在 谢谢你
終わらない夜に願いはひとつ	永无止境的夜晚 我的愿望只有一个
星のない空に輝く光を	为没有星星的天空点亮耀眼的光
戻れない場所に捨てたものでさえ	再也回不去的地方 连那已被舍弃的事物
生まれ変わって明日をきっと照らす	也重获新生 一定能把明天照亮
星屑のなかであなたに出会えた	在漫天星光中与你相遇
いつかの気持ちのまま会えたらよかった	还能以那时的心情相见该有多好
戻らない過去に泣いたことでさえ	为那无法回到的过去而流下的眼泪
生まれ変わって明日をきっと照らしてくれる	也重获新生 一定能把明天照亮
雪のまたﾞ残る白いこの街の丘の上から	这条街的小坡上还残留着白色积雪
lazy simonのスタシﾞオに光かﾞ差し	阳光照进lazy simon工作室
ヒﾟアノとbijyuとキﾞターかﾞソファに	窝在沙发里弹弹琴和吉他小酌美酒
何かの予感と旅の始まり	要开始一段不一样的旅行
扉かﾞ開けはﾞ hey 超満員	打开车门已经满员
綺麗なお姉さん pop champagne	为了要和漂亮的小姐姐干杯
vipルームをすり抜けて	我混进了vip包间
外の空気を吸う	猛吸一口室外的空气
通りかﾞけにsay cheese	大街上来say cheese合影吧
楽しいときはいつも	总是感叹欢乐的时光
いつも時間かﾞ過きﾞるの早くて驚くよ	怎么过得这么快
歓声とiphoneの渦に今日も飛ひﾞ込む	那就把欢声笑语和iphone一起延续到今天吧
昨夜の報酬	昨晚的报酬
rollieを外し	脱下rollie手表
rivaxideのcapを逆さに被れはﾞ	将rivaxide鸭舌帽反戴
気分はカウホﾞーイ	感觉自己就是个cowboy
one for the 君たﾞし	我的原则是你是第一位
鳥のさえすﾞりすら聞こえてくる朝	一清早安静得连鸟鸣都听得清清楚楚
辿り着いた丘の上の豪邸には	我来到山坡上的豪宅
ヒﾟアノとスタシﾞオとセイコーマート	有钢琴有工作室还有seico mart
生活していて最高	的生活最棒了
即ち成功たﾞ	这就是成功的人生啊
メリーコﾞーラントﾞ	坐在旋转木马上
流れていく景色を	流转而逝的景色尽入眼底
背に何を見ているの	你在朝后看着什么
流れていく景色は	是不是流转而逝的景色
繋かﾞってる空の向こうまてﾞ	一直延伸向着天空的方向
何かの予感と旅の始まり	感觉要开始一段新的旅程
陽がおちたら 彼を忘れたい	突然 squall
鼓動 する 影に	未曾注意到的
気づかないまま 突然	鼓动着的影子 突然间
外れはじめた 歯車	开始脱落下的 齿轮
亀裂が走った	龟裂蔓延开来
秒針 不審で 霧の中	可疑的秒针 于迷雾中
逃げられない 未来 世界から 不安が鳴り響く	无法逃离的未来和世界 不安在回响着
隠れた 理由に	隐瞒起来的 理由
気づけないままの想い	从未察觉到的思念
こぼれはじめた思い出	逐渐满溢出的回忆
揺れた心を	动摇着的心
隠しつくしてきた日々を	隐藏起来的每一天
傷つくことでしか知れなくて	真正感到痛楚才知晓的伤痕
枯れた涙 溶けてく	干涸的泪 逐渐融化
儚い 夢に 繋げるため 走ってく	为了将虚幻的梦连接 而奔跑起来
消えない過去を背負ったまま	如此背负着永不会消去的过往
鳴らない声を 聞かせてよ	让我听听 无声的嘶吼吧
狂い出した時間 抗うために	为了反抗 错乱失常的时间
新しい ストーリー 描け	描绘出 崭新的故事
癒えない傷を受け止めて	接受那无法愈合的伤口
覚めない悪夢に さよなら	对那无尽的噩梦 说声再见
絶望の先を刻むまでは	在绝望于前方刻下之前
進んでいくよ 7days	向前方迈进吧 7days
閉じこんだ世界	被封闭着的世界
ささやかに灯る光	微微摇曳着的灯光
守りたかった温もり	想要守护这份温暖
切り裂かれてく	被切碎得七零八落
煩悩と本能に飲まれ	的烦恼与本能吞噬
途切れて 塗り重ねてく記憶	重新涂抹 断断续续的记忆
焼けた灰は 散ってく	燃烧殆尽的灰 飘散开
痛んだ心 取り戻しに走ってく	为了将痛苦的心夺回 而奔跑起来
見えない軋んだ真実を	不可见却摩擦作响的真实
この左手で受け取ろう	就用这左手来接下吧
歪みねじ曲がる 答えがいても	即使是扭曲不堪的答案也好
あたたかい正義 掴め	抓住那 温暖的正义吧
消えない過去を背負ったまま	如此背负着永不会消去的过往
鳴らない声を聞かせてよ	让我听听那无声的嘶吼吧
狂い出した時間抗うために	为了反抗这错乱失常的时间
新しい ストーリー 描け	描绘出 崭新的故事
癒えない傷を受け止めて	接受那无法愈合的伤口
覚めない悪夢にさよなら	对那无尽的噩梦说声永别
絶望の先を刻むまでは	在绝望于前方刻下之前
進んでいこう 7days	向前方迈进吧 7days
笑おうじやない はしやごうじやない	不该放肆大笑吗不该欢腾喧闹吗
lalala きっと今日も明日もずっとずっと good day	啦啦啦明天也一定会永远美妙下去
lalala aha 終わんないって信じてる	啦啦啦aha坚信着永不完结
疾しくて卑しく思えていたんだ	迅速又卑微地思考着
いずれここにいる理由を知るのさ	反正 在这里的理由已经知道了呀
僕はまた嘘だけで作られた体で	我的身体还只是谎言编成的
これからはなんて言ってみたりして	那从今以后 想试着去说些什么
歌にさえ出来ないようなそれを信じて	相信着歌里也唱不出的那些东西
掴むその手にあるのは誰の手か	抓住的那只手里是谁的手呢
月曜日 ある計画をした	星期一 做了一个计划
僕の旅立ちの記録を書こう	把我启程的记录写下来吧
これが誰かの役に立つことは	虽然它可能一辈子
きっと一生ないけれど	都不会对谁有帮助
火曜日 いつものように	星期二 如同往日一样
会社に向かいただ仕事をこなしていく	仅仅为了完成工作 朝着公司走去
きっと誰も 僕がいなくなっても	我即使是消失了 也一定谁都
別に困らないでしょう	不会感到难过吧
雨になって 混ざりあって	开始下雨了 混杂在一起
この世界と一つになれるかな	与这个世界合为一体
汚れちゃった僕にだって	已经变得肮脏的我
きっと きっと きっと	一定 一定 一定啊
水曜日 今日は映画を観た	星期三 今天看了电影
とある国での戦争の話	在某国发生的战争的故事
僕の命と彼の命	我的一生和对方的一生
無駄にしたのはどっちだろうか	徒劳无意义的是哪一方呢
木曜日 部屋の掃除をする	星期四 打扫房间
出てくるのは過去の思い出たち	涌现出许许多多过去的回忆
あの頃はまだ 自分のために	那个时候还会以为
この世界が在ると信じてました	这个世界是因自己而存在的
鳥になって 風に乗って	化作飞鸟 乘着风
僕はいつか自由になれるかな	我什么时候才能变得自由呢
痛いだけの心なんて	只会疼痛的心什么的
いいよ いいよ いいよ	够了 够了 够了
星になって 夢に乗って	变作星星 乘着梦
楽しかった あの日 に戻れたら	回到快乐幸福的那天
君のような未来だって	和你一样的未来
きっと きっと きっと 見えたかなあ	一定 一定 一定 能看得到吧
灰になって 僕はやっと	我终于 化作了灰尘
この世界と一つになれたから	与这个世界合为一体
これ以上傷つかなくて	再也不会受伤
いいの いいの いいの	好吧 好吧 好吧
いつかきっと また会えるかな	什么时候一定 能再见到的吧
生まれてこれるかな	能够诞生来到吧
神様 次こそは	神啊 只有下一次
生きて 生きて 生きて	活着 活着 活着
みせるから	给你看看啊
金曜日 綺麗になった	星期五 天气变得很好
部屋はどこか寂しそうだった	房间里的每一处都似乎很寂寞
土曜日 今日くらいはちょっと	星期六 今天的话稍微
自分のために贅沢しよう	为了自己而奢侈一把吧
日曜日 最後の誕生日	星期日 最后的生日
見送る人は誰もいないけれど	虽然并没有人来为我送行
まあいいやそれじゃまたね	算了吧 那就 再见吧
ひとりつぶやいて	独自喃喃自语着
僕は死にました	我死了
可愛いってなんだろう	可爱到底是什么呢
どうすれば可愛くなれるのかな	怎么做才可以变可爱呢
あのねこれはね	我说啊 这个啊
団長さんに出会う前のカリオストロのお話だよ	是卡里奥斯特罗在遇到团长之前的故事哦
だから本編とは一切関係ありません	所以跟本篇没有任何关系
なりたい自分になるなら	如果成为自己想要的样子
絶対可愛い女の子	绝对要做可爱的女孩子
そうと決めたらまず	这么决定了以后首先
この世界でデータ集めて	在这个世界上收集数据
検証しましょう	来查证一下吧
カリオストロは錬金術で	卡里奥斯特罗用炼金术
そうなんだって作れちゃうんです	对的 无论什么都可以做出来的
創世記になぞらえて	照着创世纪
7日間で可愛い女の子創ろう	用七天的时间来做一个可爱的女孩子吧
初日はドラマチェックして	第一天看看电视剧
あざと可愛いを学ぶ	学习狡猾的可爱 可爱的狡猾
でもスキルが高過ぎでしょ	但是这个技巧难度太高了对吧
後半に回す	所以留到后半部分
エモキュンときめく	怦然心动好兴奋
スクールラブは不可避	校园恋爱是不可避免的
3日目は一休みして	第三天稍事休息
とりあえずグラブる	姑且碧蓝幻想下
みんな不思議がるのなぜ	大家都一副不可思议的样子 这是为什么
無難な路線じゃつまんない	无可非议的路线太无趣了
退屈な無限ループ	简直就是无聊的无限循环
稀代のトリックスターが	绝代的诈骗师若是
それじゃ形無しね	那样的话太糟蹋了啊
カリオストロは錬金術師	卡里奥斯特罗是炼金术师
そう永遠の時間を	对的 生活在
生きているんです	永恒的时间里
どーせならせっかくなら	反正要做 难得机会
世界一可愛い女の子でいたい	想做世界上最可爱的女孩子
今日は女子会	今天是女子会
スイーツランチバイキング	午餐吃甜点自助
ダイエットは明日から	减肥的法则是
本気出すの法則	从明天开始认真
でも巷ではぷにぽよ最強説	但是大街小巷流传着punipoyo最强传说
お言葉に甘えてしまえ	别讲客气啦
この調子で続く	就以这个状态继续
あっそーだ	啊 对了
まだ団長さんにはお話してなかったよね	还没有跟团长说过对吧
カリオストロのヒミツ	卡里奥斯特罗的秘密
なーんだ教えてほしい	是什么想要我告诉你
あのねカリオストロね	我说啊 卡里奥斯特罗呢
ホントはね団長さんのこと	其实呢 对团长
この続きは公式を気長に待てつべこべ言うやつはまとめて	后续内容请耐心等待官方 喋喋不休歪理不断的家伙看我
真理の一撃だ	真理的一击
newアイテムゲット	得到了新道具
セーシュンユニフォーム	青春制服
これ着てれば3割盛れる	穿着这个的话能变可爱30
放課後パーリーいぇあ	放学后美美的大头贴yeah
7日目tlに流れてた	第七天 时间线上好多
オレ様女子	本大爷女子
なにそれ最高希望と	这是神马 太棒了
需要の光見た	我看到了希望和需要之光
アレンジ加え自分史上最可愛女子の完成	整理加工一下 自己人生中最可爱的女子宣告完成
ジワる気持ち押さえたまま	强忍着不笑出来
とりあえずとりあえず	姑且 暂时
とりあえずグラブる	总而言之 碧蓝幻想下
ここから始まる新たな景色は 	从这里开始的新的景色
本当に夢ではないかな 	真的不是梦吗
遠くで眺めていただけの舞台 	曾经只是在远处眺望的舞台
私はそこに立っている 	我终于也能踏入了
聞こえてくるよ君の声がね 	可以听到你的声音哦
ステキな場所はそこにある 	就在那绝妙的地方
君がいてくれるその場所に 	就在你陪伴我的那个地方
君に届けるよこれからもずっと 	传达给你吧 今后也请一直
想いが溢れて 	将这满溢而出的思念
止まらないこの気持ちを 	将这无法停止的心情
忘れないで 	请你不要忘记
これからはもっと 	今后想要更加
想いを歌って 	努力唱出我的思念
君に伝え続けていきたいよ 	继续传达给你
この広い空に手を伸ばす 	向这广阔的天空中伸出手
届きそうなほど大きな雲 	似乎可以触碰到那巨大的云彩
君と私いつまでも 	你和我无论何时
二人歩いていこうね 	都要两个人一起前行哦
瞬きしててはいけない毎日 	忙到没有空闲眨眼的每一天
チクタク時間のトゲ刺さる 	被滴滴答答的时间锁刺痛
それでもいまあるこの景色をみて 	即便如此 看到现在的这番景色
抱きしめ離したくないから 	也想紧紧抱住不再离开
いま大変で難しいこと 	就算现在有许多
沢山あっても大丈夫 	麻烦而又困难的事情也没关系
君の温もりがきっとある 	因为一定能感觉到你的温度
君に届けるよこれからももっと 	传达给你吧 今后想要更加努力地
忘れないで 	请你不要忘记
これからはずっと 	今后也想一直
君を見守り続けていきたいよ 	并且继续守护你
この広い空に手を伸ばす 	向这广阔的天空伸出手
届きそうなほど大きな雲 	似乎可以触碰到那巨大的云彩
君と私いつまでも 	你和我无论何时
二人歩いていこうね 	都要两个人一起前行哦
おやすみと髪を撫で 白い月が昇るよ	輕撫頭髮說晚安 蒼白的月亮昇起
今日はどれだけの本当に出会えたかな	今天又遇上了多少真實
聴こえるよ 風の歌が	聽到風的歌聲
僕の半分の世界 優しく彩っていく	把我的世界的半邊柔和地染上色彩
飛び立つ日待ってる	等待飛翔之日
大切だから言えなくなること	因為重要所以說不出口
大好きだから隠してしまうことがねあるんだ	因為喜歡所以埋藏在心 總有這樣的時候
どうして	為甚麼
流れ星星の涙僕に降り注ぐよ	星辰的眼淚流星灑在我身
ずっと忘れぬように	為了永不遺忘
声に出して伝えたい	我要開口對你說
変わることない この気持ちだけ	這絕不改變的心意
君といると 幸せなんだ	跟你在一起 我很幸福
これからも傍にいるよ	永遠在你身邊
覚えてる 奇跡の話	你還記得嗎談起奇蹟
君は笑って言ったね	你笑着說
大袈裟なことじゃないよ	不是誇張
ココにいることがそう	這一刻生存在此就是奇蹟
当たり前過ぎて言えなくなってた	太理所當然而說不出口
追いかけ過ぎて見えなくなってた	太拚命追求而看不清楚
僕に教えてくれたね	你讓我知道
地球命の星この瞬間ときもどこかで	這顆生命的行星地球 每一刻也在某處
生まれてく物語ストーリー	產生新的故事
声に出して伝えたい	我要開口對你說
揺るぐことない この気持ちだけ	這毫不動搖的心意
君がとても愛おしいです	你非常惹人憐愛
今ならきっと素直になれる	如今我一定能變得坦率
見上げてごらん この空は1つだけ	抬頭看看 世上只有一個天空
一緒に新しい名前を付けよう	一起為它譜上新的名字吧
流れ星星の涙僕に降り注ぐよ	星辰的眼淚流星灑在我身
ずっと忘れぬように	為了永不遺忘
声に出して伝えたい	我要開口對你說
変わることない この気持ちだけ	這絕不改變的心意
君といると 幸せなんだ	跟你在一起 我很幸福
これからも傍にいるよ	永遠在你身邊
いつも ごめん	總是 對不起
いつも ありがとう	總是 謝謝你
星屑の中 羽ばたいた あの白い鳥のように 	闪烁 在群星之中 宛如那白色的鸟儿
何もかもを投げ出して 飛べたなら 変わるのかな	 用尽全力 飞翔了的话 是否能有所改变
どこにも行けずに まだここにいる 	我没有去任何地方 还在这儿
ただ 会いたい 	只是 好想见你
浮かぶ言葉はいつも弱くて 変わらず胸を焦がすよ 	浮现的话语也总是很脆弱 一直在让自己受煎熬
ねえ もし願いが叶うなら 	呐啊 如果愿望能实现的话
夜空も越えて会いに行くよ 	也能越过夜空 去见你
暗闇の中 輝いて咲き誇る花のように 	在黑暗之中 宛如生机勃勃竞相盛开的花儿一样
何もかもが愛しくて いつまでも探している 	你的一切都令人喜爱 永远都在寻找着
どこか出会えたら また微笑んで 	若是在某处相遇了 还会微微笑的
ただ 会いたい 	只是 好想见你
君の笑顔は今も 遠くで変わらず夜を照らすよ 	你的笑容直到现在也 在远处 一直在照亮黑夜
ねえ もし願いが叶うなら 迷わず君に会いに行くよ 	呐啊 如果愿望能够实现的话 便会毫不犹豫的去见你
思い出の公園や 懐かしい教室も 	回忆中的公园还有令人怀念的教室
今でもあの日と同じままかな 	现在还是和那天一样的么
寂しげな街灯と 最後に見た駅のホーム 	有些落寞的路灯 和最后看见的车站
溢れ出す景色に手を伸ばす 	把手伸向这满满的景色
会いたい 	好想见你
浮かぶ言葉はいつも弱くて 変わらず胸を焦がすよ 	浮现的话语也总是很脆弱 一直在让自己受煎熬
会いたい 	好想见你
君の笑顔は今も 遠くで変わらず夜を照らすよ 	你的笑容直到现在也 在远处 一直在照亮黑夜
ねえ もし翼があるのなら 迷わず君に会いに 	呐啊 如果我有翅膀的话 便会毫不犹豫的去见你
夜空も越えて会いに行くよ	连夜空也能越过 去见你
星屑の中 羽ばたいた 	闪烁 在群星之中
あの白い鳥のように 	宛如那白色的鸟儿
何もかもを投げ出して 	若用尽全力 飞翔的话
飛べたなら 変わるのかな 	是否能有所改变
どこにも行けずに 	我没有去任何地方
まだここにいる 	我还在这里
ただ 会いたい 	只是 好想见你
浮かぶ言葉はいつも弱くて 	浮现的话语也总是很脆弱
変わらず胸を焦がすよ 	一直在让自己受煎熬
ねえ もし願いが叶うなら 	呐 如果愿望能实现的话
夜空も越えて会いに行くよ 	也能够越过夜空 去见你
暗闇の中 輝いて咲き誇る花のように 	在黑暗之中 宛如生机勃勃竞相盛开的花儿一样
何もかもが愛しくて 	你的一切都令人喜爱
いつまでも探している 	永远都在寻找着
どこか出会えたら また微笑んで 	若是在某处相遇了 还会微微笑的
ただ 会いたい 	只是 好想见你
君の笑顔は今も 	你的笑容直到现在
遠くで変わらず夜を照らすよ 	也在远处 一直在照亮黑夜
ねえ もし願いが叶うなら 	呐 如果愿望能够实现的话
迷わず君に会いに行くよ 	便会毫不犹豫的去见你
思い出の公園や 懐かしい教室も 	回忆中的公园 还有令人怀念的教室
今でもあの日と同じままかな 	现在还是和那天一样的么
寂しげな街灯と 最後に見た駅のホーム 	有些落寞的路灯 和最后看见的车站
溢れ出す景色に手を伸ばす 	把手伸向这满满的景色
会いたい 	好想见你
浮かぶ言葉はいつも弱くて 	浮现的话语也总是很脆弱
変わらず胸を焦がすよ 	一直在让自己受煎熬
会いたい 	好想见你
君の笑顔は今も 	你的笑容直到现在
遠くで変わらず夜を照らすよ 	也在远处 一直在照亮黑夜
ねえ もし翼があるのなら 	呐 如果我有翅膀的话
迷わず君に会いに 	便会毫不犹豫的去见你
夜空も越えて会いに行くよ 	连夜空也能越过 去见你
星屑の中 羽ばたいた	闪烁 在群星之中
あの白い鳥のように	宛如那白色的鸟儿
何もかもを投げ出して 飛べたなら	若用尽全力 飞翔的话
変わるのかな	是否能有所改变
どこにも行けずに	我无法去任何地方
まだここにいる	我还在这里
ただ 会いたい	只是 好想见你
浮かぶ言葉はいつも弱くて	浮现的话语也总是很脆弱
変わらず胸を焦がすよ	一直在让自己受煎熬
ねえ もし願いが叶うなら	呐 如果愿望能实现的话
夜空も越えて会いに行くよ	也能够越过夜空 去见你
暗闇の中	在黑暗之中
輝いて咲き誇る花のように	宛如生机勃勃竞相盛开的花儿一样
何もかもが愛しくて	你的一切都令人喜爱
いつまでも探している	永远都在寻找着
どこか出会えたら	若是在某处相遇了
また微笑んで	还会微微笑的
ただ 会いたい	只是 好想见你
君の笑顔は今も	你的笑容直到现在
遠くで変わらず夜を照らすよ	也在远处 一直在照亮黑夜
ねえ もし願いが叶うなら	呐 如果愿望能够实现的话
迷わず君に会いに行くよ	便会毫不犹豫的去见你
思い出の公園や	回忆中的公园
懐かしい教室も	还有令人怀念的教室
今でもあの日と同じままかな	现在还是和那天一样的么
寂しげな街灯と	有些落寞的路灯
最後に見た駅のホーム	和最后看见的车站
溢れ出す景色に手を伸ばす	把手伸向这满满的景色
会いたい	好想见你
浮かぶ言葉はいつも弱くて	浮现的话语也总是很脆弱
変わらず胸を焦がすよ	一直在让自己受煎熬
会いたい	好想见你
君の笑顔は今も	你的笑容直到现在
遠くで変わらず夜を照らすよ	也在远处 一直在照亮黑夜
ねえ もし翼があるのなら	呐 如果我有翅膀的话
迷わず君に会いに	便会毫不犹豫的去见你
夜空も越えて会いに行くよ	连夜空也能越过 去见你
 今更になってさ	事到如今才
 あの夏を思い出して	回想起那个夏天
 私の居場所は	我的归宿呀
 ここじゃない	不是这里
 ここじゃない	不是这里
 ごめんねの代わりに	留下一句谢谢
 ありがとうを置いてった	来代替抱歉
 君は今 何処にいるの	你现在 在何处呢
 88畳の部屋	八点八叠大的房间
 あなたの匂いが	你的气味呀
 今も消えずに残ってる	现在还残留着没有消失
 ねぇどれほどの時を	呐还要多少时间
 超えれば私は	我才能超越你
 貴方を追い越せるの	我能超越你吗
 ねぇこのままじゃ痛くて	呐一直这样痛下去的话
 縋ってしまいそうになる	快要追上你了
 今更になってさ	事到如今才
 あの夏を思い出して	回想起那个夏天
 私の居場所は	我的归宿呀
 ここじゃない	不是这里
 ここじゃない	不是这里
 ごめんねの代わりに	留下一句谢谢
 ありがとうを置いてった	来代替抱歉
 君は今 何処にいるの	你现在 在何处呢
 贅沢は言わない	不敢说出我的奢望
 何気ない会話	假装没事的对话
 笑いあっていた	互相欢笑着
 あの日に戻りたい	想回到那一天
 今更遅いのは	如今已经太晚了
 とっくに分かってるんだ	早就已经知道了的
 それでも あなたのそばにもう一度	尽管如此 还是想要再一次回到你身边
 戻りたい	想恢复原状
 今更になってさ	事到如今才
 今更になってさ	事到如今才
 今更になっても	事到如今即使
 あの夏を思い出して	回想起了那个夏天
 貴方の居場所は	你的归宿呀
 そこじゃない	不是那里
 そこじゃない	不是那里
 さよならの代わりに	留下一句谢谢
 ありがとうを置いてった	代替再见
 君は今何を見てるの	你现在在看什么
 会いたい	好想见你
88畳の部屋	八点八叠大的房间
暗い部屋の中で	黑暗的房间里
ただあなたの帰りを待つ	只是等着你回来
ねぇこの部屋は少し	呐这个房间稍微
広すぎるみたい	好像显得太大了
あなたの居ない今では	没有你的此刻
ねぇこのままでいたいなら	呐如果一直这样痛着
このままじゃダメだったのに	这样下去明明是不行的
今更になってさ	事到如今才
あの夏を思い出して	回想起那个夏天
私の居場所は	我的归宿呀
ここじゃない	不是这里
ここじゃない	不是这里
ごめんねの代わりに	留下一句谢谢
ありがとうを置いてった	来代替抱歉
君は今 何処にいるの	你现在 在何处呢
88畳の部屋	八点八叠大的房间
あなたの匂いが	你的气味呀
今も消えずに残ってる	现在还残留着没有消失
ねぇどれほどの時を	呐还要多少时间
超えれば私は	我才能超越你
貴方を追い越せるの	我能超越你吗
ねぇこのままじゃ痛くて	呐一直这样痛下去的话
縋ってしまいそうになる	快要追上你了
今更になってさ	事到如今才
あの夏を思い出して	回想起那个夏天
私の居場所は	我的归宿呀
ここじゃない	不是这里
ここじゃない	不是这里
ごめんねの代わりに	留下一句谢谢
ありがとうを置いてった	来代替抱歉
君は今 何処にいるの	你现在 在何处呢
贅沢は言わない	不敢说出我的奢望
何気ない会話	假装没事的对话
笑いあっていた	互相欢笑着
あの日に戻りたい	想回到那一天
今更遅いのは	如今已经太晚了
とっくに分かってるんだ	早就已经知道了的
それでも あなたのそばにもう一度	尽管如此 还是想要再一次回到你身边
戻りたい	想恢复原状
今更になってさ	事到如今才
今更になってさ	事到如今才
今更になっても	事到如今即使
あの夏を思い出して	回想起了那个夏天
貴方の居場所は	你的归宿呀
そこじゃない	不是那里
そこじゃない	不是那里
さよならの代わりに	留下一句谢谢
ありがとうを置いてった	代替再见
君は今何を見てるの	你现在在看什么
会いたい	好想见你
木漏れ日 キラキラ揺れてる朝の並木道	摇曳的叶片间透出阳光 熠熠生辉的林荫道
いつもの 君のおはようって声が聞こえる	如往常一样 听见你那声熟悉的早上好
鍵をかけたガラスの箱に何を 隠しているんだろう	你在上锁的玻璃盒中藏着什么样的秘密
動きはじめた物語 君の世界もっと知りたくて	始动的物语 渴望理解你的世界
偶然触れたその指を今 握ったんだ	曾偶然触碰到的手指 如今牢牢握于掌中
強がりも弱さも全部 包んであげるよ ぎゅっと	你的逞强与软弱 我都会稳稳地 全部接下
忘れない 陽だまりの中で 君と出会った日	始终无法忘怀 在阳光下与你邂逅的那一天
ゆっくり重ねる時間を胸に刻んで	将一点点积累起来的时光铭刻于心
遠くに見えていた未来がこんなに 近くに感じる	看似遥不可及的未来 此刻仿佛触手可及
かけがえのないこの想い 少しずつ膨らんでいく	这份无比珍贵的感情 渐渐膨胀开来
君と一緒に 特別をただ 見つけたいんだ	想与你一道寻得名为特别之物 仅此而已
不安だって消しちゃうくらいに この手を繋ごう ずっと	永远 牵着你的手 为你掸去一切不安
そばにいるから 伝えたいんだ	好想告诉你有我在你身边
動きはじめた物語 君の世界もっと知りたくて	始动的物语 渴望理解你的世界
偶然触れたその指を今 握ったんだ	曾偶然触碰到的手指 如今牢牢握于掌中
強がりも弱さも全部 包んであげるよ ぎゅっと	你的逞强与软弱 我都会稳稳地 全部接下
偽物ばかりのジョーク 張り合わない	全是谎言的笑话 没点意思
言葉を並べて どうだい与えられない	把话都说出来如何却又无法说清
言い訳ばかりだ 兄弟 踊る 理愛りあい	全都是借口 兄弟 跳舞 理爱
食い散らかし そう灰 見ていられない	什么都试了一下 就像灰一样so high真是看不下去了
癒えない そう you know	治不好了 对啊 你知道么
声も息もない 恐怖感 進む未来	无声无息 不断前进的未来的恐惧感
愛を棄てちまう商売 何がしたい	把爱抛诸脑后的生意 做些什么好呢
振り回されているのさ 俺らのライフ	我们的演出 不停地被耍
執心 用などない	执着 要来何用
癒えない そう you know	治不好了 对啊 你知道么
知らない そう言うの	你这样说 我不懂啊
80デニールのタイツを履いてきたわ	我穿着80丹尼的裤袜
 60デニールじゃちょっと違うの	和60丹尼的感觉不太一样哦
 都会の真ん中いつでも見つけられるよう明るい色を	为了随时能在市中心被找到而选择了明亮的颜色
 明るい色を	明亮的颜色
 手を引かれてゆく15分の間中考えていたの	在你牵我手的十五分钟里我一直在想
 上手くは言えないけれど	哪怕我不能好好的说出口
 これでよかったと思えたわたし	但是我觉得现在这样就很好
 ねぇ今触ってもいいんだよ	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだって本当はこそばゆい	明明我更害羞呀
 ねぇ今触ってもいいんだよ	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだってちょっぴり期待してる	我也很期待这样哦
 80デニールの恋をしていたいの	想谈一场80丹尼的恋爱
 60デニールじゃちょっと足りない	因为60丹尼的恋爱有点不够
 女の子にはみんな誰にも言えない秘密があるの	每个女孩子都有独属于自己的秘密
 秘密があるの	自己的秘密
 階段を10段登ってゆく間中考えていたの	在我爬那十级楼梯的时候我一直在想
 とびきり素敵な彩りを	那格外美丽的色彩
 すべてあなたに捧ぐのわたし	还有把她全部给你的我
 ねぇ今触ってもいいよね	现在你可以触摸我了吧
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだって本当はこそばゆい	明明更害羞的人是我呀
 ねぇ今触ってもいいよね	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 そうきっとちょっぴり期待してる	我也一定有点期待
 ねぇ今触ってもいいんだよ	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだって本当はこそばゆい	明明更害羞的人是我呀
 ねぇ今触ってもいいよね	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだって本当は	明明我也很ω
 ねぇ今触ってもいいんだよ	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 わたしだって本当はこそばゆい	明明我才是更害羞的那一个啊
 ねぇ今触ってもいいんだよ	现在你可以触碰我了哦
 恥ずかしがっていないでよ	但你不要害羞啊
 そうきっとちょっぴり期待してる	我也一定有点期待
 あなただってちょっぴり期待してる	你也肯定在期待着吧
